               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,             0.08179,            0.014391,           0.0031373,             0.17073,             0.28125,            0.099978,            0.024574,            0.084901,            0.012145,           0.0022867,            0.021136,           0.0071356,           0.0071356
                  87,            0.079891,            0.011399,            0.004592,              0.1777,             0.40625,             0.19463,             0.07152,            0.084645,            0.012024,           0.0023284,            0.020201,           0.0072013,           0.0072013
                  88,            0.081671,            0.019092,           0.0037965,              0.1777,             0.40625,             0.19463,             0.07152,            0.084645,            0.012024,           0.0023284,            0.019267,           0.0072667,           0.0072667
                  89,            0.076696,            0.015791,           0.0033393,              0.1777,             0.40625,             0.19463,             0.07152,            0.084645,            0.012024,           0.0023284,            0.018332,           0.0073316,           0.0073316
                  90,            0.081213,            0.016631,           0.0027578,              0.1777,             0.40625,             0.19463,             0.07152,            0.084645,            0.012024,           0.0023284,            0.017396,           0.0073962,           0.0073962
                  91,            0.079308,             0.01531,           0.0029864,            0.041593,             0.21875,            0.028329,           0.0084473,            0.095858,            0.011485,            0.002502,             0.01646,           0.0074604,           0.0074604
                  92,            0.098375,           0.0088614,           0.0029757,            0.041593,             0.21875,            0.028329,           0.0084473,            0.095858,            0.011485,            0.002502,            0.015524,           0.0075241,           0.0075241
                  93,            0.092929,            0.014313,            0.003684,            0.041593,             0.21875,            0.028329,           0.0084473,            0.095858,            0.011485,            0.002502,            0.014587,           0.0075875,           0.0075875
                  94,            0.091308,            0.015911,           0.0035889,            0.041593,             0.21875,            0.028329,           0.0084473,            0.095858,            0.011485,            0.002502,             0.01365,           0.0076505,           0.0076505
                  95,             0.09529,            0.013077,           0.0034634,               0.423,               0.375,             0.31651,             0.10077,            0.082736,             0.01205,           0.0026381,            0.012713,           0.0077131,           0.0077131
                  96,            0.078292,            0.011149,           0.0043202,               0.423,               0.375,             0.31651,             0.10077,            0.082736,             0.01205,           0.0026381,            0.011775,           0.0077752,           0.0077752
                  97,            0.080628,            0.012426,           0.0031196,               0.423,               0.375,             0.31651,             0.10077,            0.082736,             0.01205,           0.0026381,            0.010837,            0.007837,            0.007837
                  98,            0.080128,            0.015293,           0.0034195,               0.423,               0.375,             0.31651,             0.10077,            0.082736,             0.01205,           0.0026381,           0.0098984,           0.0078984,           0.0078984
                  99,            0.076844,            0.012177,           0.0041768,             0.31776,                0.25,             0.25373,             0.05566,            0.080205,            0.012775,           0.0024962,           0.0089594,           0.0079594,           0.0079594
                 100,            0.079595,            0.015781,           0.0030031,             0.31776,                0.25,             0.25373,             0.05566,            0.080205,            0.012775,           0.0024962,             0.00802,             0.00802,             0.00802
                 101,            0.076728,              0.0141,           0.0032882,             0.31776,                0.25,             0.25373,             0.05566,            0.080205,            0.012775,           0.0024962,             0.00802,             0.00802,             0.00802
                 102,            0.077286,            0.015029,           0.0037444,             0.31776,                0.25,             0.25373,             0.05566,            0.080205,            0.012775,           0.0024962,           0.0080002,           0.0080002,           0.0080002
                 103,            0.076361,            0.015726,           0.0040891,             0.30076,              0.1875,               0.193,            0.064714,            0.074898,            0.013284,           0.0025552,           0.0079804,           0.0079804,           0.0079804
                 104,            0.072375,            0.014431,           0.0030723,             0.30076,              0.1875,               0.193,            0.064714,            0.074898,            0.013284,           0.0025552,           0.0079606,           0.0079606,           0.0079606
                 105,            0.075896,            0.013524,           0.0026303,             0.30076,              0.1875,               0.193,            0.064714,            0.074898,            0.013284,           0.0025552,           0.0079408,           0.0079408,           0.0079408
                 106,             0.07254,            0.017183,             0.00378,             0.30076,              0.1875,               0.193,            0.064714,            0.074898,            0.013284,           0.0025552,            0.007921,            0.007921,            0.007921
                 107,            0.071376,            0.013925,           0.0030797,             0.17133,             0.46875,             0.18506,            0.050153,            0.087827,            0.012552,           0.0021664,           0.0079012,           0.0079012,           0.0079012
                 108,            0.079199,            0.014327,           0.0027601,             0.17133,             0.46875,             0.18506,            0.050153,            0.087827,            0.012552,           0.0021664,           0.0078814,           0.0078814,           0.0078814
                 109,            0.080701,            0.012092,           0.0034204,             0.17133,             0.46875,             0.18506,            0.050153,            0.087827,            0.012552,           0.0021664,           0.0078616,           0.0078616,           0.0078616
                 110,            0.076478,            0.014451,           0.0034443,             0.17133,             0.46875,             0.18506,            0.050153,            0.087827,            0.012552,           0.0021664,           0.0078418,           0.0078418,           0.0078418
                 111,            0.080581,            0.010043,           0.0024051,             0.25679,              0.3125,             0.22755,            0.048992,            0.088356,            0.012166,           0.0023795,            0.007822,            0.007822,            0.007822
                 112,            0.092479,            0.015043,           0.0029637,             0.25679,              0.3125,             0.22755,            0.048992,            0.088356,            0.012166,           0.0023795,           0.0078022,           0.0078022,           0.0078022
                 113,            0.087193,            0.014395,           0.0033732,             0.25679,              0.3125,             0.22755,            0.048992,            0.088356,            0.012166,           0.0023795,           0.0077824,           0.0077824,           0.0077824
                 114,            0.085752,            0.015445,           0.0028913,             0.25679,              0.3125,             0.22755,            0.048992,            0.088356,            0.012166,           0.0023795,           0.0077626,           0.0077626,           0.0077626
                 115,            0.083303,            0.013802,           0.0032709,             0.31971,              0.4375,             0.23428,            0.057575,            0.088251,            0.011833,            0.002293,           0.0077428,           0.0077428,           0.0077428
